text,analysis
Retweeted LSU Football Equip ( @LSUFBEquipment ): Locker room set up in Tuscaloosa #LSU pic.twitter.com/ebBaybnpXb http:// fb.me/6UUh4x9Ql,positive
@ALewisMusic Alabama vs. LSU football game roll tide roll!!!,negative
BESSEMERAL (WAFB) - An Amtrak train filled with dozens of LSU football fans collided with a dump truck near... http:// fb.me/7yooEC0II,negative
Just Bc I miss the SunshineLSU footballand my family https:// instagram.com/p/9wseZLhtWv/,negative
Check out the photos: Mike the Tiger snacks on meaty team logo treats before #LSU football games http:// s.nola.com/YM0HTIR via @nolanews,positive
Amtrak train carrying LSU fans crashes in Alabama: An Amtrak train filled with dozens of LSU football fans col... http:// bit.ly/1HihrVh,negative
LSU football releases awesome Alabama hype video http:// dlvr.it/CgSCGc #NCAA pic.twitter.com/sUAfcjVXnb,positive
"@LSUFootball yall see this? pic.twitter.com/ilSoJyUpeO """,negative
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
2015 LSU Football - Alabama Trailer http:// fb.me/7xS7v2VBY,positive
Who is excited for LSU Football vs. Alabama Football tomorrow? Here's the hype video for the game! #geauxtigers ... http:// fb.me/6LC3XU9iw,positive
Meet the artist: Mike the Tiger snacks on 'meat art' treats before LSU football games http:// bit.ly/1RCD0QI #HollywoodSouth #art #stage,positive
The Tigers are about to take off for Alabama. #GeauxTigers pic.twitter.com/85muDjVHHa,positive
#WeFromLouisiana : #Boosie talks #LSU #Football on Highly Questionable @HQonESPN / http:// bit.ly/1M8wPzo / #ImFromLouisiana #BeatBama,positive
Tomorrow night!!!: 2015 LSU Football - Alabama Trailer from LSU Football on Vimeo. http:// dlvr.it/CgPZ1t,positive
Oh my god. All of the fire emojis. #LSUvsBama Watch “2015 LSU Football - Alabama Trailer Part 2” on @Vimeo https:// vimeo.com/144671740,positive
"@tomsegura Check out a video called ""2015 LSU Football - Alabama Trailer Part 2"". Play the :57 mark for Tina and see if she can understand.",positive
LSU football is starting November off with a bang! Let's cheer on our Tigers against Alabama tomorrow! #GeauxTigers http:// bit.ly/1kvC1HD,positive
2015 LSU Football - Alabama Trailer Part 2 http:// fb.me/7r63XpJ9F,positive
WIN $50 - LIKE The Williams Team Page & COMMENT your prediction of the LSU Football vs. Alabama Football Game - Must predict by 8am Game Da…,positive
LSU Football just released a hype video for their game against Alabama Football and we don't know what is going... http:// fb.me/50bpMildw,positive
Is it bad that this video is getting me hyped for LSU football ? https:// twitter.com/sinow/status/6 62653493858148353 …,positive
Every autumn I look forward to Alabama/ LSU football . My heart is already racing for tomorrow night. I will go to this game in my life.,positive
We're live at Landers Fiat for FiatsFood Trucks& Football Friday's from noon-1pm today with LSU Football and... http:// fb.me/4Y3GKMdcp,positive
(Official Site) GameDay Timeline: LSU Football at Alabama http:// bit.ly/1S3gaBN #LSU,positive
READY FOR SOME LSU FOOTBALL TOMORROW!!!!!,positive
That's the same fall the LSU football team will have out the playoffs https:// twitter.com/AcyTremayne/st atus/662413355966005249 …,positive
LSU Football : Top 5 matchup could come down to QB play. http://www. sulphurdailynews.com/article/201511 06/NEWS/151109817 …,positive
Watch “2015 LSU Football - Alabama Trailer Part 2” on @Vimeo https:// vimeo.com/144671740?outr o=1 … This just gave me chill can't wait till tomorrow,positive
Spoke about LSU footballfamily & this weekend's massive game vs Bama with Marty Garner for Flood Magazine http:// bit.ly/1WF5ZVy,positive
SATURDAY 6:30pm Alabama Football vs LSU Football our Widescreen's & $8.00 pitchers Bud Light Furniture Factory... http:// fb.me/5EBPT0LHt,positive
2015 LSU Football - Alabama Trailer Part 2 http:// fb.me/4bkIodxZC,positive
#GeauxTigers #LSU http:// ift.tt/1L1duzg GameDay Timeline: LSU Football at Alabama,positive
The white girl talkin shxt bout LSU football JJ.. and the 2012 national championship.. She's really pissing me off wit her bad built axx,negative
Hope to see you tomorrow night for some LSU football ! Game starts at 7:00. #geauxTigers,positive
Watch “2015 LSU Football - Alabama Trailer” on @Vimeo https:// vimeo.com/144411072?outr o=1 …,positive
@joedrape Saban still casts a huge shadow on LSU football . He even made the political news yesterday. http:// theadvocate.com/news/13896377- 63/louisiana-gop-chair-calls-republican …,negative
"#Quotes ""My favorites are probably some pictures of Coach Mac (former LSU football coach Charlie McClendon) at different events... especi…",positive
#BatonRouge #Louisana - Ride in style to next week's #LSU #football game! Call 855-458-7001 http:// fb.me/71TwZazQ9,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
The auction for the @_fournette jersey from the South Carolina game begins at 7 am CT Sat. http:// lsul.su/1RQGHCf pic.twitter.com/JMb8BWvG9A,positive
Leonard Fournette can be the next great RB: http://www. openendsports.com/ncaaf/no-fourn ette-league-yet … #LeonardFournette #LSU #football #LSUNATION #NCAASeason91 #sports,positive
Just saw an LSU football trailer and threw up in my mouth a little bit,negative
Dropping Zeb zringle off at #lax headed out to the #Alabama vs #lsu football game...I just need… https:// instagram.com/p/9vu4LGk2nu/,negative
@outcold1 @pwc1011 @HomesickCajun @KellyCreollady2 @Ivanv1 @LSUJEFF Awesome video about LSU Football https:// vimeo.com/144671740,positive
We're excited to announce our #7 LSU Football Jersey tee collection is now available in store + online! This... http:// fb.me/46qtEOWA8,positive
LIKE if you think LSU Football could rock these!! http:// fb.me/4UYufCNwq,positive
Why on earth would you not be showing Alabama v LSU football this week @ESPNAusNZ ????????,negative
