
Dr. Smooth drives in his 3rd RBI of the game. @Indians take a 5-2 lead STREAM: http:// ow.ly/6ZhI30bcVMF pic.twitter.com/QMmKKTGrKc,10,43
you didn't think we were rolling out here naked did you??? @Vae_Victis938,0,1
Ketchup is a cheater,0,1
12$ for a 2$ 24 ounce. #Indians #booo,0,0
Indians  friendly sila promise!,0,0
5-4 Indians bottom of 6,0,0
Former #Indians pitcher Tony Sipp coming on to pitch for the #Astros in the 6th,0,1
If I calculated it correctly one of my favorite starters is pitching on my May 17th @Indians game #favor,0,0
@Indians http:// Military.com says that you do 1 free ticket to all games to military. Was just told at box office there is no discount.,0,0
"And I said fuck it" - guy at the Indians game,0,1
Former #Indians lefty Tony Sipp on for the #Astros in relief.,1,1
So whatever happened to #Indians ' postseason hero Ryan Merritt? #RallyTogether http:// factoryofsadness.co/2017/04/26/cle veland-indians-where-is-2016-postseason-hero-ryan-merritt/ …,1,2
Well the bats need to add a couple more yet again. I've never seen a team give up as many homers as the Indians,0,0
Bauer likely done for the night at 107 pitches and six innings - #Indians lead it 5-4 middle of the 6th @NEOSportsInside,1,1
Lance McCullers allowed five runs over five innings. He did not have his best stuff. The Indians put eight of his 36 curveballs in play.,1,6
This Indians team is truly special though. Frankie Lindor is exciting to watch.,0,0
I think he fits on teams like Orioles Indians  Mets Colorado Seattle,0,0
Let's check in on Michael Brantley #RallyTogether @Indians pic.twitter.com/YjOZss6I2a,3,4
Beautiful night for a ball game! Go Clippers! @clbclippers @indians … https://www. instagram.com/p/BTXipY7lNsLt _1Birv0420rBrFnTTacrZ-7VNQ0/ …,0,1
exactly. indians can get a bit mean with actresses' sexuality. nah i didnt but i wouldnt have expected anything less from virat fans lol,0,0
Trevor Bauer - Cleveland Indians (8 today 5 2/3 IP 107 pitches),0,0
@zack_hample watching the indians gameand i thought it had to be you bacause who would be in am ump hat?can you put this in the videoplease? pic.twitter.com/QZeyfxiO3j,0,1
#sport : Dallas Keuchel's arm Josh Reddick's catch propel Astros to win over Indians http:// dlvr.it/P0DqyS please retweet,0,0
Watching the Indians vs Astros game.Close game again tonight,0,0
#Astros @#Indians [T6-1o]: Evan Gattis (swinging) RHP Trevor Bauer Seq: cu cu ff FF○ FF+ FF FT FF FT FT FF× s3: 94.7mph Four-seamer,0,0
Big K for Bauer his 8th as he sets down Gattis for the first out in the 6th #Indians @NEOSportsInside,1,0
Two losses avenged The Channahon Indians Scholastic Bowl team #ChannahonPride pic.twitter.com/5QAevVxUNc,1,5
Waiting for my take out #Sushi so I'll gladly listen to #Hammy call the #Indians game.,0,0
Annual @Indians picture with the babes @Progressive Field https://www. instagram.com/p/BTXieStl3ic/,0,1
Really I doubt it as already he is being praised by TV anchors that he has exposed the Indians .,0,1
Bauer immediately obliged Astro's by giving up a 2R HR to McCann to make a 5-4 game.,0,0
the Cleveland Indians were 10-11 in April last year.,0,1
100 pitches. Time to bring in the bullpen. @Indians @Jobu_Lives,0,0
Just heard an Indians fan make "Indian noises" on the Astros radio broadcast. Really dude?,0,1
Why Bauer why,0,0
5-4,0,1
