
,0,0
@Phillies 50 pitches for Charlie Morton; El Torito strikes out End 3rd #Astros 1 - #Phillies 0 #PhilliesTalk bat flip pic.twitter.com/O8e4u0YeWU,0,0
@TMacPhils I miss your voice. Watching the Phils in Dallas but the Phillies feed is blacked out so we have to watch the Astros feed. Ugh!,0,0
Astros lead the Phillies 1-0 at the end of the 3rd. Pitching: HOU C Morton PHI N Pivetta (ESPN) http:// ift.tt/11YUSLM,0,0
Astros lead the Phillies 1-0 at the end of the 3rd. Pitching: HOU C Morton PHI N Pivetta (ESPN) http:// ift.tt/11YUSLM,0,0
Cheers Stig!,0,0
Astros lead the Phillies 1-0 at the end of the 3rd. Pitching: HOU C Morton PHI N Pivetta (ESPN),0,0
I try,0,0
So we're on #HugWatch right? Alex Bregman did not look hurt after that triple. #astros #TradeDeadline,1,3
Astros can't beat the tribe,0,1
I will thank you!,0,1
Astros could hold out George Springer until Friday http:// dlvr.it/PYVb9X pic.twitter.com/JsnSqEBy4l,0,0
Charlie Morton - Houston Astros (3 today 3 IP 50 pitches),0,1
I feel a homerun coming soon!,0,0
Morton escaping his own mini-mess with a couple of strikeouts #KharlieM #Astros,0,0
Phillies have a long history with the Astros of course one of the most thrilling League Championship series in MLB history pic.twitter.com/w3UQSZmhNH,11,39
Morton escaping his own mini-mess with a couple of strikeouts #KharlieM #Astros,0,0
If it is a trade of Bregman it had better be for Chris Archer #Astros,0,2
Ugh thank god #Astros,0,0
Watching the Astros with the birthday girl!!!! HAPPY BIRTHDAY Jessica Musquiz — watching astros,0,0
Yeah Morton hit your 3rd batter. That was on purpose to Odubel. #Phillies #Astros,0,1
#Astros @#Phillies [B3-3o]: Odubel Herrera (swinging; 1) RHP Charlie Morton (3) Seq: CU× ff FF FS× s3: 88.3mph Sinker/Splitter,0,0
@astros Morton owns that inside,0,0
calm down Morton before Hawk Harrelson comes on the air and rants about you #Phillies #Astros,0,0
Been saying this all year the only thing that will stop this Astros team is the injury bug..,0,0
#Astros Bregman out of the game! Maybe pulled hammy on the triple? #eatmorebananas,0,0
@astros what's the deal please get the pitching straight.,0,0
Really Morton are you trying to start a fight #Astros #AstrosTwitter,0,1
Nice to see you are watching the Astros .,0,1
A fight about to go down in this Astros game,0,0
Beat that ASS @Indians !! Signed @astros Fans pic.twitter.com/ZhkVoR17gw,1,2
Not sure what a finger would do to make him trot gingerly but I did cringe watching him slide into 3rd.,0,0
Astros 1-0 so far so excited #fordachip,0,1
Astros ?,0,0
watching Houston Astros vs Philadelphia Phillies,0,0
Morton wtf man #Astros,0,2
@dickfundy how r the Astros gonna do this season? Also r u ever going back to screen junkies?,0,0
Assuming Keuchel picks up where he left off I have faith in exactly one starter in a big game right now #Astros,0,0
You spelled Astros wrong Bucci!,0,1
Have the entire team hurt so they are fresh for the playoffs. #Astros pic.twitter.com/3s2QGk6uEB,57,113
@astros @blummer27 would love to see an established reliever right or left hand even a Neshak type or a mature closure to offset Giles,0,0
mlb teams best record since may lad ofc 55-19 astros 50-24 royals 44-31 nats 42-30 and dbacks 41-31 all these team be in postseason maybe,0,0
Pretty soon he'll be bat flipping after his strikeouts. #jerkoff,0,2
Oh no not another player down. They are dropping like flies. Hope it's not too serious.,0,0
@astros  strike 3 and you're out go dit down pic.twitter.com/6kjg7eu2Z0,0,0
Sheesh now Bregman?! A key #Astros player gets hurt every single night. Not cool.,0,0
#Astros @#Phillies [B3-2o]: Nick Williams (looking; 1) RHP Charlie Morton (2) Seq: FC○ ff CU ft FT○ s3: 96.1mph Two-seamer,0,0
Charlie Morton - Houston Astros (2 today 2 2/3 IP 43 pitches),0,0
Now Bregman is out?!? Please never ever have another "funeral" again @astros,0,1
Seemed like he trotted home kinda gingerly. Jammed a finger sliding into third is my guess.,0,2
Los astros se alinearán a favor de la Democracia venezolana.,0,1
Of course they do but we are talking about Keuchel. Astros fans are depending on him to be that guy when he gets back.,0,0
Well it was a head first slide this year that always makes me uneasy #Astros,0,1
This is everything. Mad props for that logo action.,0,0
Call helps #Astros Strike 3 should be ball 3 Bot 3 Morton vs Williams 14% call same 2.4in from edge pic.twitter.com/GKXhVxF0bS,0,1
Checking out @astros prospects at a Hooks game! #imhooked pic.twitter.com/UYXv4ZAVII,0,0
Don't worry.. Astros will copy soon just like with Kuechels Corner lol,0,1
