
Through 855 career games #Astros Jose Altuve 1077 hits - .312/.355/.439 Pete Rose 1027 hits - .298/.355/.417 Altuve 120 days younger.,168,313
JD has brought in a bunch of SO artist. Adore batting in 2 hole lol. Profar needed to get playing time to see what he can do.,0,0
Need Astros updates.,0,1
Let's go @astros ! pic.twitter.com/Pzzlp9Fg9J,0,5
Rangers’ Hamels faces Astros ’ Fiers after fiery series opener (May 02 2017) | FOX Sports http:// rincon-sports.com/2017/05/02/ran gers-hamels-faces-astros-fiers-after-fiery-series-opener-may-02-2017-fox-sports/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter … pic.twitter.com/sZnN3AD8bY,0,0
Let’s goooo @astros,0,0
best record in Baseball #Astros,0,0
Game 3/4 in this series between the Astros and the Arlington Ramgers. Charlie Morton on the mound for HOU.,0,0
Lets Go Rangers!! — watching Texas Rangers vs Houston Astros at Buffalo Wild Wings http:// fb.me/5G7pec2Pj,0,1
@astros @OrbitAstros my little brother loves his orbit pic.twitter.com/GUMyFP8YCk,1,0
the @astros gonna make it three in a row tonight against the @Rangers #BTSnotOOTR pic.twitter.com/yk49vM2Y6M,0,0
And tradition while offering RESPECT. I am a season ticket holder to the Texans Rockets & Astros while paying for cable television for ESPN,0,0
That's what he gets for passing on the stros!,0,0
Lots of changes in the @Rangers line-up tonight as they get ready to battle the @astros . #LoneStarGrit #TEXvsHOU pic.twitter.com/Y8pUPTMW3a,0,10
Texas Shootout - Astros vs Rangers and Rockets vs Spurs! Come See Both Games With Us at Daddy O's! After Party With Dj NonStop!,0,0
Go Astros !,0,0
Astros game with the crew,0,0
Starting to think the Torchy's addition was more for Astros management than the fans,0,1
I read this as Enos only earns torchy's if the Astros win 3 in a row. In that case get that man a lot of tacos!!,0,1
Fave this tweet and tell me that I'm wrong in 6 months. The Astros are going to win the World Series this year,1,5
@astros Who wore it BEST..now this is an UNFLAIR question !! Woo ! pic.twitter.com/msfjjvqMBK,0,0
Nope!! Go @astros !! :) pic.twitter.com/f6LidgWnxu,0,1
Awesome Sauce !! #GoAstros !!! H-TOWN,0,5
The only reason Marwin is on the Astros is to wreak havoc on the Rangers,0,0
NowPlaying Programa Los Astros Y Tu - Radio Isla De Luz http://www. isladeluz.org 00:53,0,0
Ready to watch the #Astros kick some #Ranger butt. #gohouston #hustletown #downwithdallas … https://www. instagram.com/p/BTpjrn7DBoj/,0,1
That's what I'm talking about!! #Astros https:// twitter.com/juliamorales/s tatus/859869185488429057 …,0,0
Que los astros se alineen a mi favor.,1,0
@AShippkp175 live from the ballpark for #Astros vs. #Rangers and @trey_formas live from his couch for #Rockets vs #Spurs tonight! #Gingers,0,1
Hold onto your hats MMP...we're here to make some noise! #Astros #EARNIT #frontrow,0,1
For #Astros fans Marwin Gonzalez stands for 'team' he was the hero last night who will be tonight? http:// climbingtalshill.com/2017/05/03/for -astros-fans-marwin-gonzalez-stands-for-team/ …,1,10
Mentions for Astros : http:// sch.mp/0lOadh - RT @valerieislike I had Torchy's tacos for the first time ever today at the Astros game,0,0
Josh Reddick's Wrestling Belt is effin awesome! #Woo #Astros,0,3
Excited to spend a great evening with my boy....go Astros ! pic.twitter.com/O0EgNUVs5p,0,0
At the Juice Box to see my big nut Astros . #astros #texans pic.twitter.com/t9QM89CEOq,0,1
Hanging out at the #Astros game with @agnita29 @Minute Maid Park https://www. instagram.com/p/BTpjb8OAUmi/,0,2
Going for another night of #Astros #Rockets #Caps trifecta! #RocktheRed,1,1
